Organization,Project Title,Administering  IC,Application ID,Project Number,Type,Activity,IC,Serial Number,Support Year,Suffix,Subproject Number ,Contact PI  Person ID,Contact PI / Project Leader,Other PI or Project Leader(s),Organization Name,ARRA Indicator,FY,FY Total Cost ,FY Total Cost  (Sub Projects)
Havard,GENETICS AND GENOMICS PHD TRAINING GRANT,NIGMS,8676812,5T32GM096911-04,5,T32,GM,96911,4,,,1863326,"WINSTON, FRED M.",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,225670,
Havard,ANTAGONIZING MIRNAS IN A STRATEGY TO CURE HSV LATENCY,NIAID,8627110,5R21AI105896-02,5,R21,AI,105896,2,,,1888951,"COEN, DONALD M",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,227244,
Havard,ENVIRONMENTAL CHEMICALS; EXOSOMAL MIRNAS IN OVARIAN FOLLICLES; AND IVF SUCCESS,NIEHS,8750977,1R21ES024236-01,1,R21,ES,24236,1,,,1871968,"HAUSER, RUSS B",Not Applicable,HARVARD SCHOOL OF PUBLIC HEALTH, ,2014,227840,
Havard,DOCTORAL TRAINING PROGRAM IN TROPICAL DISEASES,NIAID,8740781,2T32AI049928-11A1,2,T32,AI,49928,11,A1,,1882086,"WIRTH, DYANN F ","KANKI, PHYLLIS J.",HARVARD SCHOOL OF PUBLIC HEALTH, ,2014,229450,
Havard,TARGETING CELL SEPARATION SYSTEMS OF GRAM-NEGATIVE BACTERIA.,NIAID,8703851,1R21AI111713-01,1,R21,AI,111713,1,,,9360769,"BERNHARDT, THOMAS G",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,230932,
Havard,AUTOMATED PROCEDURE GUIDANCE WITH ULTRASOUND IMAGING CATHETERS,NIBIB,8824041,1R21EB018938-01A1,1,R21,EB,18938,1,A1,,1972575,"HOWE, ROBERT D",Not Applicable,HARVARD UNIVERSITY, ,2014,231259,
Havard,DEVELOPMENT OF TONIC AND PHASIC NEURAL SYSTEMS MEDIATING AFFECT AND ANXIETY,NIMH,8694093,5R00MH087813-05,5,R00,MH,87813,5,,,9763495,"SOMERVILLE, LEAH HELENE",Not Applicable,HARVARD UNIVERSITY, ,2014,236188,
Havard,CHRONIC EFFECTS OF WEATHER FLUCTUATIONS: POPULATION SUSCEPTIBILITY AND ADAPTATION,NIEHS,8695767,1R21ES024012-01A1,1,R21,ES,24012,1,A1,,10676146,"ZANOBETTI, ANTONELLA ",Not Applicable,HARVARD SCHOOL OF PUBLIC HEALTH, ,2014,242803,
Havard,THEORY AND METHODS FOR SUFFICIENT CAUSE INTERACTIONS,NIEHS,8607940,5R01ES017876-05,5,R01,ES,17876,5,,,8726901,"VANDERWEELE, TYLER ",Not Applicable,HARVARD SCHOOL OF PUBLIC HEALTH, ,2014,245617,
Havard,REGULATION OF QUIESCENCE AND ACTIVATION IN SKIN STEM CELLS,NIAMS,8902307,4R00AR063127-03,4,R00,AR,63127,3,,,10419279,"HSU, YA-CHIEH ",Not Applicable,HARVARD UNIVERSITY, ,2014,249000,
Havard,BMP2 REGULATION OF THE INTRAMEMBRANOUS BONE STEM CELL NICHE,NIDCR,8680208,5R00DE021069-05,5,R00,DE,21069,5,,,10181825,"INTINI, GIUSEPPE ",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,249001,
Havard,PREDICTIVE OPTIMAL ANTICLOTTING TREATMENT FOR SEGMENTED PATIENT POPULATIONS,NLM,8723295,5R01LM011566-02,5,R01,LM,11566,2,,,6436110,"TONELLATO, PETER J.",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,250209,
Havard,REGULATORY MECHANISMS AND ROLE OF THE PI3K-TSC-MTOR SIGNALING NETWORK IN TUMORS,NCI,8657834,5R01CA122617-09,5,R01,CA,122617,9,,,8471894,"MANNING, BRENDAN D.",Not Applicable,HARVARD SCHOOL OF PUBLIC HEALTH, ,2014,250558,
Havard,MECHANISM OF CRL4-CDT2; AN S PHASE-SPECIFIC UBIQUITIN LIGASE,NIGMS,8641382,5R01GM080676-07,5,R01,GM,80676,7,,,1867974,"WALTER, JOHANNES ",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,251423,
Havard,A GESTURE TRAINING FOR LOW-INCOME PARENTS TO IMPROVE CHILD VOCABULARY DEVELOPMENT,NICHD,8896968,7R21HD078771-02,7,R21,HD,78771,2,,,7548879,"ROWE, MEREDITH L",Not Applicable,HARVARD UNIVERSITY, ,2014,253500,
Havard,INNOVATIVE REPORTERS TO CHARACTERIZE HETEROGENEOUS STATES AMONG CELLS,NIDA,8825155,1R21DA039582-01,1,R21,DA,39582,1,,,1963356,"PERRIMON, NORBERT ",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,254250,
Havard,MDM2 AND MDMX FUNCTION TOGETHER AS THE P53 E3 LIGASE,NCI,8706810,5R01CA085679-13,5,R01,CA,85679,13,,,2091439,"YUAN, ZHI-MIN ",Not Applicable,HARVARD SCHOOL OF PUBLIC HEALTH, ,2014,258826,
Havard,MECHANISM OF THE EUKARYOTIC REPLICATIVE DNA HELICASE,NIGMS,8685271,5R01GM062267-13,5,R01,GM,62267,13,,,1867974,"WALTER, JOHANNES ",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,261427,
Havard,FUNCTION-SPECIFIC SEROTONERGIC NEURONS; DISCRETE BRAIN TARGETS; AND ADDICTION,NIDA,8700087,1R21DA036056-01A1,1,R21,DA,36056,1,A1,,1896284,"DYMECKI, SUSAN M. ","KANTAK, KATHLEEN M.",HARVARD MEDICAL SCHOOL, ,2014,268038,
Havard,HARVARD SYSTEMS BIOLOGY GRADUATE PROGRAM,NIGMS,8688264,5T32GM080177-05,5,T32,GM,80177,5,,,1865979,"SILVER, PAMELA A",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,269056,
Havard,HARVARD CHEMICAL BIOLOGY GRADUATE PROGRAM,NIGMS,8690908,5T32GM095450-04,5,T32,GM,95450,4,,,2206519,"WALKER, SUZANNE ",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,270804,
Havard,TP10-1001; PREPAREDNESS AND EMERGENCY RESPONSE LEARNING CENTER (PERLC),OPHPR,8735737,5U90TP000417-05,5,U90,TP,417,5,,,1961664,"TESTA, MARCIA A",Not Applicable,HARVARD SCHOOL OF PUBLIC HEALTH, ,2014,277670,
Havard,TRANSGENERATIONAL SUSCEPTIBILITY TO ASTHMA FROM AIR POLLUTION EXPOSURE,NIEHS,8728858,5R21ES023281-02,5,R21,ES,23281,2,,,1878463,"KOBZIK, LESTER ",Not Applicable,HARVARD SCHOOL OF PUBLIC HEALTH, ,2014,279798,
Havard,A NEW STATISTICAL FRAMEWORK TO TAME SELECTION BIAS IN HEALTH SCIENCES,NIAID,8759387,1R21AI113251-01,1,R21,AI,113251,1,,,6851113,"TCHETGEN TCHETGEN, ERIC JOEL ","PHIRI, KELESITSE ",HARVARD SCHOOL OF PUBLIC HEALTH, ,2014,285684,
Havard,TRANSGENIC ZEBRAFISH FOR NEUROBIOLOGY,NINDS,8662999,1R24NS086601-01,1,R24,NS,86601,1,,,7039484,"ENGERT, FLORIAN ",Not Applicable,HARVARD UNIVERSITY, ,2014,295750,
Havard,SOCIAL PROTECTION; WORK AND FAMILY STRAIN: DISADVANTAGE EFFECTS IN US AND EUROPE,NIA,8718965,5R01AG040248-04,5,R01,AG,40248,4,,,1887078,"BERKMAN, LISA F",Not Applicable,HARVARD SCHOOL OF PUBLIC HEALTH, ,2014,295823,
Havard,ROLE OF A NOVEL SECRETED PROTEIN TYROSINE KINASE IN DEVELOPMENT,NIDCR,8679884,1R21DE024312-01,1,R21,DE,24312,1,,,1898182,"WHITMAN, MALCOLM R.",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,296625,
Havard,NETWORK ORGANIZATION OF THE HUMAN AUTOPHAGY SYSTEM,NIGMS,8649052,5R01GM095567-04,5,R01,GM,95567,4,,,7736225,"HARPER, JEFFREY W",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,297473,
Havard,COMPARATIVE AND COST-EFFECTIVENESS OF PREVENTING HPV-RELATED DISEASES,NCI,8627587,5R01CA160744-03,5,R01,CA,160744,3,,,8689652,"KIM, JANE JOOYUN",Not Applicable,HARVARD SCHOOL OF PUBLIC HEALTH, ,2014,298877,
Havard,STATISTICAL METHODS FOR CORRELATED AND HIGH-DIMENSIONAL BIOMEDICAL DATA,NCI,8628053,5R37CA076404-18,5,R37,CA,76404,18,,,7043086,"LIN, XIHONG ",Not Applicable,HARVARD SCHOOL OF PUBLIC HEALTH, ,2014,299093,
Havard,ENGINEERING SKELETAL MUSCLE WITH BIODEGRADABLE HYDROGELS,NIDCR,8838359,3R01DE013349-13S1,3,R01,DE,13349,13,S1,,8116883,"MOONEY, DAVID J",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,304010,
Havard,PAPILLOMAVIRUS E2 FUNCTIONS: CELLULAR REGULATION AND EFFECTORS,NCI,8677570,5R01CA116720-08,5,R01,CA,116720,8,,,1863889,"HOWLEY, PETER M",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,307044,
Havard,HIGH-THROUGHPUT SCREENING AND STEM CELL MODELING OF CAUSAL EQTL VARIANTS,NIGMS,8642199,5R01GM104464-02,5,R01,GM,104464,2,,,9758860,"MUSUNURU, KIRAN  ","MIKKELSEN, TARJEI SIGURD",HARVARD UNIVERSITY, ,2014,307219,
Havard,HEALTH POLICY TRAINING PROGRAM,NIMH,8692490,5T32MH019733-20,5,T32,MH,19733,20,,,6276621,"MCGUIRE, THOMAS G.",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,308236,
Havard,GENETIC REGULATION OF OVARIOLE DEVELOPMENT IN DROSOPHILA,NICHD,8731144,5R01HD073499-02,5,R01,HD,73499,2,,,9282400,"EXTAVOUR, CASSANDRA G",Not Applicable,HARVARD UNIVERSITY, ,2014,308462,
Havard,POLYNUCLEAR IRON COMPLEXES AS FUNCTIONAL MIMICS OF THE NITROGENASE FEMO-COFACTOR,NIGMS,8668083,5R01GM098395-04,5,R01,GM,98395,4,,,10143027,"BETLEY, THEODORE A",Not Applicable,HARVARD UNIVERSITY, ,2014,308784,
Havard,MECHANISTIC ANALYSIS OF POST-TRANSLATION MEMBRANE PROTEIN INSERTION INTO THE ER.,NIGMS,8635374,5R01GM099943-03,5,R01,GM,99943,3,,,9957487,"DENIC, VLADIMIR ",Not Applicable,HARVARD UNIVERSITY, ,2014,314116,
Havard,SINGLE-MOLECULE STUDIES OF ATP-DEPENDENT CHROMATIN REMODELING,NIGMS,8706191,5R01GM105637-02,5,R01,GM,105637,2,,,6139020,"ZHUANG, XIAOWEI ",Not Applicable,HARVARD UNIVERSITY, ,2014,314194,
Havard,REPROGRAMMING USING SMALL MOLECULES,NIGMS,8629767,5R01GM096067-03,5,R01,GM,96067,3,,,3127270,"EGGAN, KEVIN C",Not Applicable,HARVARD UNIVERSITY, ,2014,314977,
Havard,PATTERNING AND MORPHOGENESIS OF THE VERTEBRATE GUT,NICHD,8688283,5R01HD047360-10,5,R01,HD,47360,10,,,1887350,"TABIN, CLIFFORD J",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,315228,
Havard,BONE METABOLISM AND BONE METASTASES IN PROSTATE CANCER,NCI,8692714,5R01CA179129-02,5,R01,CA,179129,2,,,10458137,"WILSON, KATHRYN M.",Not Applicable,HARVARD SCHOOL OF PUBLIC HEALTH, ,2014,316003,
Havard,GENERATION AND CHARACTERIZATION OF TOOLS FOR TARGET-SPECIFIC DE NOVO DNA METHYLAT,NIDA,8735920,5R01DA036898-02,5,R01,DA,36898,2,,,9366875,"MEISSNER, ALEXANDER ",Not Applicable,HARVARD UNIVERSITY, ,2014,316785,
Havard,PREDOCTORAL TRAINING PROGRAM IN REPRODUCTIVE; PERINATAL & PEDIATRIC EPIDEMIOLOGY,NICHD,8659196,5T32HD060454-05,5,T32,HD,60454,5,,,1896518,"MICHELS, KARIN B",Not Applicable,HARVARD SCHOOL OF PUBLIC HEALTH, ,2014,317451,
Havard,PROTECTION AGAINST RENAL ISCHEMIC INJURY BY SHORT TERM DIETARY RESTRICTION,NIA,8683051,5R01AG036712-05,5,R01,AG,36712,5,,,9286596,"MITCHELL, JAMES ",Not Applicable,HARVARD SCHOOL OF PUBLIC HEALTH, ,2014,318229,
Havard,STOCHASTIC PARTITIONING AND DEGRADATION OF MACROMOLECULES,NIGMS,8728943,5R01GM095784-04,5,R01,GM,95784,4,,,8535386,"PAULSSON, JOHAN ",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,319009,
Havard,MECHANISMS OF VERTEBRATE HEDGEHOG SIGNALING,NIGMS,8692852,5R01GM092924-04,5,R01,GM,92924,4,,,7887972,"SALIC, ADRIAN ",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,319931,
Havard,NOVEL STRATEGY FOR HIV DRUG RESISTANCE MONITORING IN DEVELOPING COUNTRIES.,NIAID,8660274,5R01AI089350-04,5,R01,AI,89350,4,,,8368675,"ROWLEY, CHRISTOPHER F",Not Applicable,HARVARD SCHOOL OF PUBLIC HEALTH, ,2014,320061,
Havard,A COMPARATIVE STRUCTURAL STUDY OF ATP-DEPENDENT CHROMATIN REMODELING COMPLEXES,NIGMS,8629766,5R01GM092895-04,5,R01,GM,92895,4,,,9384640,"LESCHZINER, ANDRES ",Not Applicable,HARVARD UNIVERSITY, ,2014,320255,
Havard,DYNAMICS OF SIGNALING PATHWAYS: MECHANISM AND FUNCTION,NIGMS,8669003,5R01GM083303-07,5,R01,GM,83303,7,,,8477044,"LAHAV, GALIT ",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,320531,
Havard,MICROBIAL ADAPTATION AND THE STATISTICS OF EPISTASIS AND PLEIOTROPY,NIGMS,8683196,5R01GM104239-02,5,R01,GM,104239,2,,,11256298,"DESAI, MICHAEL M",Not Applicable,HARVARD UNIVERSITY, ,2014,321100,
Havard,STUDY OF PHENOTYPIC AND FITNESS EFFECTS OF NON-FUNCTIONAL PROTEIN INTERACTIONS IN,NIGMS,8767150,1R01GM111955-01,1,R01,GM,111955,1,,,1881552,"SHAKHNOVICH, EUGENE I",Not Applicable,HARVARD UNIVERSITY, ,2014,321100,
Havard,THE BIOCHEMICAL CORRELATES OF SLEEP HOMEOSTASIS,NIMH,8716815,5R01MH099180-02,5,R01,MH,99180,2,,,11268921,"KALINCHUK, ANNA ",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,321750,
Havard,DEVELOPMENT AND ARCHITECTURE OF EPIGENETIC REGULATORY ELEMENTS,NIGMS,8611043,1R01GM108699-01,1,R01,GM,108699,1,,,1880621,"AHMAD, KAMRAN ",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,322050,
Havard,MOLECULAR MECHANISMS OF GERMLINE DNA REPAIR AND DNA DAMAGE RESPONSE,NIGMS,8628381,1R01GM105853-01A1,1,R01,GM,105853,1,A1,,1931889,"COLAIACOVO, MONICA P",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,322050,
Havard,MECHANISM OF ACTION OF YEAST SILENCING COMPLEXES,NIGMS,8691861,5R01GM061641-13,5,R01,GM,61641,13,,,1940235,"MOAZED, DANESH ",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,322050,
Havard,METHODS TO FIND AND MODEL PREDICTORS OF THE CAUSAL EFFECT OF HAART,NIAID,8609550,5R01AI100762-03,5,R01,AI,100762,3,,,8879655,"LOK, JUDITH JACQUELINE",Not Applicable,HARVARD SCHOOL OF PUBLIC HEALTH, ,2014,323000,
Havard,ORGANOMETALLIC CHEMISTRY FOR APPLICATIONS IN BIOMEDICAL SCIENCES,NIGMS,8601710,5R01GM088237-05,5,R01,GM,88237,5,,,8960362,"RITTER, TOBIAS ",Not Applicable,HARVARD UNIVERSITY, ,2014,323750,
Havard,MONITORING NEURAL ACTIVITY IN FREELY BEHAVING ZEBRAFISH LARVAE WITH BIOLUMINESCEN,NIDA,8657024,5R01DA030304-04,5,R01,DA,30304,4,,,7039484,"ENGERT, FLORIAN ",Not Applicable,HARVARD UNIVERSITY, ,2014,324200,
Havard,GUT MICROBIOTA AND INFLAMMATORY MONOCYTES IN COLORECTAL CANCER,NCI,8607163,5R01CA154426-04,5,R01,CA,154426,4,,,9151380,"GARRETT, WENDY S.",Not Applicable,HARVARD SCHOOL OF PUBLIC HEALTH, ,2014,325060,
Havard,MODULATION OF P53 FUNCTION BY TYROSINE KINASE NETWORKS,NCI,8704895,5R01CA167814-03,5,R01,CA,167814,3,,,2091439,"YUAN, ZHI-MIN ",Not Applicable,HARVARD SCHOOL OF PUBLIC HEALTH, ,2014,325060,
Havard,DESIGNING BIOLOGICAL CIRCUITS,NIGMS,8652442,5R01GM036373-30,5,R01,GM,36373,30,,,1865979,"SILVER, PAMELA A",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,325732,
Havard,NEW APPROACHES FOR THE DELIVERY OF PROTEINS AND NUCLEIC ACIDS INTO CELLS,NIGMS,8601534,5R01GM095501-04,5,R01,GM,95501,4,,,6874950,"LIU, DAVID R",Not Applicable,HARVARD UNIVERSITY, ,2014,326462,
Havard,THE VARIABILITY OF THE LIFESPAN PHENOTYPE IN C.ELEGANS,NIA,8605143,5R01AG034994-05,5,R01,AG,34994,5,,,6711091,"FONTANA, WALTER ",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,326857,
Havard,REVERSING AGE-RELATED DYSFUNCTION OF SKELETAL MUSCLE STEM CELLS,NIA,8693897,5R01AG033053-07,5,R01,AG,33053,7,,,6155044,"WAGERS, AMY JO",Not Applicable,HARVARD UNIVERSITY, ,2014,327728,
Havard,THE POPULATION GENETICS OF ANTIBIOTIC RESISTANCE IN MULTI-DRUG ENVIRONMENTS,NIGMS,8701298,5R01GM081617-08,5,R01,GM,81617,8,,,8801989,"KISHONY, ROY ",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,330051,
Havard,ADDRESSING MENTAL HEALTH DISPARITIES IN REFUGEE CHILDRENL A CBPR COLLABORATION,NIMHD,8655907,5R24MD008057-02,5,R24,MD,8057,2,,,8468963,"BETANCOURT, THERESA STICHICK",Not Applicable,HARVARD SCHOOL OF PUBLIC HEALTH, ,2014,330520,
Havard,GENOMIC FUNCTIONS OF NUCLEOSOME DYNAMICS,NIGMS,8727058,5R01GM098349-02,5,R01,GM,98349,2,,,1880621,"AHMAD, KAMRAN ",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,330525,
Havard,MECHANISMS SPECIFIC TO THE BENEFICIAL EFFECTS OF DIETARY RESTRICTION,NIA,8741907,5R01AG044346-02,5,R01,AG,44346,2,,,10419999,"MAIR, WILLIAM B.",Not Applicable,HARVARD SCHOOL OF PUBLIC HEALTH, ,2014,331075,
Havard,MINORITY PHYSICIANS AND RESEARCH CAREERS: APPLYING THE THEORY OF PLANNED BEHAVIOR,NIGMS,8678951,5R01GM098549-04,5,R01,GM,98549,4,,,10666019,"KRUPAT, EDWARD ",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,331251,
Havard,A P53/NFKB-MEDIATED METABOLIC MECHANISM FOR CHEMOTHERAPY PROTECTION,NCI,8707715,1R01CA183074-01A1,1,R01,CA,183074,1,A1,,2091439,"YUAN, ZHI-MIN ",Not Applicable,HARVARD SCHOOL OF PUBLIC HEALTH, ,2014,335113,
Havard,STRUCTURAL BASIS OF IMMUNE CELL RECEPTOR FUNCTION,NIAID,8665370,5R01AI037581-19,5,R01,AI,37581,19,,,7780808,"WAGNER, GERHARD ",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,335197,
Havard,ASSESSMENT AND EVALUATION OF HILL-TYPE MUSCLE MODELS FOR PREDICTING IN VIVO FORCE,NIAMS,8695754,2R01AR055648-05A1,2,R01,AR,55648,5,A1,,1931929,"BIEWENER, ANDREW A",Not Applicable,HARVARD UNIVERSITY, ,2014,335825,
Havard,EVOLUTIONARY MEDICINE IN THE DEVELOPMENT OF ANTIMALARIA DRUGS,NIAID,8691243,1R01AI106734-01A1,1,R01,AI,106734,1,A1,,1860714,"HARTL, DANIEL L",Not Applicable,HARVARD UNIVERSITY, ,2014,338000,
Havard,EPIGENOMIC DRIVERS OF HUMAN MUSCLE PROGENITOR CELLS IN DEVELOPMENT AND DISEASE,NIEHS,8814714,1R01ES024935-01,1,R01,ES,24935,1,,,6155044,"WAGERS, AMY JO",Not Applicable,HARVARD UNIVERSITY, ,2014,338000,
Havard,SEMIPARAMETRIC METHODS FOR GENE-ENVIRONMENT INTERACTION,NIEHS,8663257,5R01ES020337-03,5,R01,ES,20337,3,,,6851113,"TCHETGEN TCHETGEN, ERIC JOEL",Not Applicable,HARVARD SCHOOL OF PUBLIC HEALTH, ,2014,338599,
Havard,HORMONAL MODULATION OF AGGRESSION IN DROSOPHILA,NIGMS,8724512,5R01GM074675-08,5,R01,GM,74675,8,,,1955021,"KRAVITZ, EDWARD A",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,339000,
Havard,MOLECULAR GENETICS OF THE BITHORAX COMPLEX,NIGMS,8758522,2R01GM028630-28A1,2,R01,GM,28630,28,A1,,1863357,"BENDER, WELCOME ",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,339424,
Havard,STRUCTURAL AND MECHANISTIC STUDIES OF REGULATION OF LET-7 BIOGENESIS BY LIN28',NCI,8625278,5R01CA163647-03,5,R01,CA,163647,3,,,9197139,"SLIZ, PIOTR ",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,341161,
Havard,DISSOCIATING INTRINSIC AND EXTRINSIC MOTOR LEARNING IN ALZHEIMER'S DISEASE,NIA,8723723,5R01AG041878-03,5,R01,AG,41878,3,,,8678192,"SMITH, MAURICE A",Not Applicable,HARVARD UNIVERSITY, ,2014,343598,
Havard,ORGANOGENESIS OF THE PHARYNX IN C ELEGANS,NIGMS,8652465,5R37GM056264-18,5,R37,GM,56264,18,,,1860974,"MANGO, SUSAN E",Not Applicable,HARVARD UNIVERSITY, ,2014,344694,
Havard,HOW DO AMINE NEURONS WORK?,NIGMS,8710269,5R01GM099883-03,5,R01,GM,99883,3,,,1955021,"KRAVITZ, EDWARD A",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,346097,
Havard,INVESTIGATING THE NEUROINFLAMMATORY ROLE OF RIP1 KINASE,NIA,8670893,1R01AG047231-01,1,R01,AG,47231,1,,,1893171,"YUAN, JUNYING ",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,347475,
Havard,MOLECULAR MECHANISMS OF AUDITORY TRANSDUCTION,NIDCD,8663209,5R01DC000304-30,5,R01,DC,304,30,,,1897716,"COREY, DAVID P",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,348662,
Havard,CELLULAR AND MOLECULAR MECHANISMS OF EAR MORPHOGENESIS,NIDCD,8721388,5R01DC007195-10,5,R01,DC,7195,10,,,6771596,"GOODRICH, LISA V",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,348662,
Havard,PHAGES AND GENOMIC VARIATION IN VIBRIO CHOLERAE EVOLUTION,NIGMS,8708885,5R01GM068851-11,5,R01,GM,68851,11,,,1859172,"MEKALANOS, JOHN JOSEPH",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,348870,
Havard,SYNAPTIC AND CIRCUIT MECHANISMS OF OLFACTORY PROCESSING,NIDCD,8617832,5R01DC008174-09,5,R01,DC,8174,9,,,8323591,"WILSON, RACHEL ",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,349635,
Havard,IMPLEMENTATION OF PROGRAMS FOR THE PREVENTION; CARE AND TREATMENT OF HIV/AIDS IN ,NCHHSTP,8713272,5U2GPS001966-05,5,U2G,PS,1966,5,,,1890773,"FAWZI, WAFAIE W",Not Applicable,HARVARD SCHOOL OF PUBLIC HEALTH, ,2014,350000,
Havard,DOPAMINERGIC ENABLING OF SYNAPTIC PLASTICITY IN PREFRONTAL CIRCUITS,NIDA,8637960,5R01DA032283-04,5,R01,DA,32283,4,,,8385896,"YAO, WEI-DONG ",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,350000,
Havard,GENETICS OF LONG NON-CODING RNAS IN ZEBRAFISH,NICHD,8736103,1R01HD076708-01A1,1,R01,HD,76708,1,A1,,1879377,"SCHIER, ALEXANDER F",Not Applicable,HARVARD UNIVERSITY, ,2014,350675,
Havard,PPAR DELTA FUNCTIONS IN LIVER,NIDDK,8728813,5R01DK075046-08,5,R01,DK,75046,8,,,8254689,"LEE, CHIH-HAO ",Not Applicable,HARVARD SCHOOL OF PUBLIC HEALTH, ,2014,351263,
Havard,RNAI-MEDIATED HETEROCHROMATIN ASSEMBLY,NIGMS,8704445,5R01GM072805-10,5,R01,GM,72805,10,,,1940235,"MOAZED, DANESH ",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,351713,
Havard,METABOLIC CONTROL OF CELL GROWTH BY THE MTOR SIGNALING NETWORK,NCI,8759755,1R01CA181390-01A1,1,R01,CA,181390,1,A1,,8471894,"MANNING, BRENDAN D.",Not Applicable,HARVARD SCHOOL OF PUBLIC HEALTH, ,2014,353081,
Havard,DIETARY FAT AND HDL METABOLISM,NHLBI,8688317,5R01HL095964-05,5,R01,HL,95964,5,,,1862842,"SACKS, FRANK M",Not Applicable,HARVARD SCHOOL OF PUBLIC HEALTH, ,2014,354086,
Havard,CHARACTERIZING ODOR MAPS IN THE OLFACTORY BULB AND CORTEX,NIDCD,8675219,5R01DC011558-04,5,R01,DC,11558,4,,,1892479,"DATTA, SANDEEP R",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,354979,
Havard,CHROMOSOME DYNAMICS IN BACILLUS SUBTILLS,NIGMS,8756076,2R01GM086466-05A1,2,R01,GM,86466,5,A1,,1929338,"RUDNER, DAVID Z",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,356586,
Havard,IDENTIFICATION OF THE TRANSCRIPTIONAL REGULATORS OF CHONDROCYTE HYPERTROPHY,NIAMS,8640073,5R01AR055552-05,5,R01,AR,55552,5,,,1899368,"LASSAR, ANDREW BRUCE",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,358798,
Havard,SENSORY PROCESSING OF SOCIAL AND DEFENSIVE CHEMOSIGNALS,NIDCD,8639517,5R01DC013087-02,5,R01,DC,13087,2,,,2275890,"DULAC, CATHERINE G",Not Applicable,HARVARD UNIVERSITY, ,2014,359125,
Havard,FUNCTIONAL INTEGRATION OF ADULT-BORN NEURONS INTO THE MAMMALIAN BRAIN,NIDCD,8677874,5R01DC013329-02,5,R01,DC,13329,2,,,3150947,"MURTHY, VENKATESH N",Not Applicable,HARVARD UNIVERSITY, ,2014,359125,
Havard,MOLECULAR AND CELLULAR MECHANISMS OF A NEURONAL NETWORK FOR OLFACTORY LEARNING,NIDCD,8760879,2R01DC009852-06,2,R01,DC,9852,6,,,8961686,"ZHANG, YUN ",Not Applicable,HARVARD UNIVERSITY, ,2014,359125,
Havard,THE ROLE OF SEMAPHORINS IN AXON AND BLOOD VESSEL GUIDANCE,NINDS,8608011,5R01NS064583-05,5,R01,NS,64583,5,,,6269870,"GU, CHENGHUA ",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,359732,
Havard,REGULATION OF SYNAPSE MORPHOGENESIS IN DROSOPHILA,NINDS,8644953,5R01NS069695-05,5,R01,NS,69695,5,,,1894863,"VAN VACTOR, DAVID L.",Not Applicable,HARVARD MEDICAL SCHOOL, ,2014,359732,
Havard,POPULATION-BASED STUDY OF ENVIRONMENTAL RISK FACTORS FOR ALS,NIEHS,8663593,5R01ES019188-05,5,R01,ES,19188,5,,,1876230,"WEISSKOPF, MARC G",Not Applicable,HARVARD SCHOOL OF PUBLIC HEALTH, ,2014,359736,
